"","uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","cnSampleID","cnSampleCode","sampleType","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate"
"1","69a3e8ad-aa12-4587-8dd1-70a0cfae7e16",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.30.LIVE.<2MM",NA,"vegetation",0.2,-26.8,0.5,44.7,82.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"2","79c9ae53-07c5-4fb0-bc72-a6b6e294f009",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.40.LIVE.<2MM",NA,"vegetation",1.1,-28,0.7,44.3,64,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"3","6c7d9dc6-fe88-41c8-9ad2-ef7b86ac1395",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.30.DEAD.<2MM",NA,"vegetation",1.7,-27.8,0.5,43.2,82.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"4","42b26b4a-6d24-4120-8542-39f79187bd86",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.0.LIVE.<2MM",NA,"vegetation",0.2,-28.7,0.8,40,47.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"5","36201884-7ea2-43d4-8429-31b1fbad008e",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.20.DEAD.<2MM",NA,"vegetation",0.4,-28.2,0.5,43.5,83.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"6","b2866870-171f-4bba-9eb9-cbf3b6d4b275",2016-10-19,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.70.DEAD.>2MM",NA,"vegetation",1.9,-27.5,0.7,40,56.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"7","ffe5604c-01f5-4ecd-b07f-89bbabe6c478",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.30.LIVE.<2MM",NA,"vegetation",2.6,-28.6,0.8,40.1,50.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"8","6fcf9e1c-6712-4b9d-a8ec-56b483d72615",2016-12-16,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.20.DEAD.>2MM",NA,"vegetation",1.2,-28.6,0.6,42.9,68.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"9","9233f642-16fc-4f7f-87c1-f77bdaf8277b",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.90.LIVE.<2MM",NA,"vegetation",3.5,-27.7,0.7,45.5,68,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"10","e53fd708-2814-4768-80e0-d8d1ef79e16a",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.50.DEAD.<2MM",NA,"vegetation",1.2,-28.3,0.6,43.7,74.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
