"","uid","pitNamedLocation","endDate","depthIncrementID","sampleID","archiveID","rootStatus","sizeCategory","rootDryMass","incrementRootBiomass","incrementRootDensity","publicationDate"
"1","83db0bf8-2c4a-4e5c-a5a1-1d9892302194","MEGAPT100963",2013-08-19,"BART.3.30","BART.3.30.DEAD.<2MM","BART.3.30.DEAD.<2MM","dead","<=2mm",0.3362,30.56,305.64,"20201217T015540Z"
"2","74048786-3da8-4f8c-85c2-15117ce07fc2","MEGAPT100963",2013-08-19,"BART.3.50","BART.3.50.LIVE.<2MM","BART.3.50.LIVE.<2MM","live","<=2mm",0.0391,3.91,39.1,"20201217T015540Z"
"3","e8974ff3-e429-4cb5-bfda-87d5d81e7fb9","MEGAPT100963",2013-08-19,"BART.3.40","BART.3.40.LIVE.<2MM","BART.3.40.LIVE.<2MM","live","<=2mm",0.1256,11.42,114.18,"20201217T015540Z"
"4","13e9e574-1e82-47e7-a35b-aa94d2cc0605","MEGAPT100963",2013-08-19,"BART.3.20","BART.3.20.DEAD.<2MM","BART.3.20.DEAD.<2MM","dead","<=2mm",0.4613,46.13,461.3,"20201217T015540Z"
"5","44d5c990-48e2-4861-a29b-c238367d818c","MEGAPT100963",2013-08-19,"BART.3.80","BART.3.80.LIVE.<2MM",NA,"live","<=2mm",0.009,0.83,8.33,"20201217T015540Z"
"6","810685e2-2b7d-47b1-bccc-a244386cd7bf","MEGAPT100963",2013-08-19,"BART.3.40","BART.3.40.DEAD.<2MM","BART.3.40.DEAD.<2MM","dead","<=2mm",0.0344,3.13,31.27,"20201217T015540Z"
"7","32b03eff-2c4a-4058-8fc4-22a5f72c9533","MEGAPT100963",2013-08-19,"BART.3.10","BART.3.10.LIVE.<2MM","BART.3.10.LIVE.<2MM","live","<=2mm",4.2613,227.63,2276.34,"20201217T015540Z"
"8","1363313f-abe7-4ed2-b963-11d80f0a0d3e","MEGAPT100963",2013-08-19,"BART.3.90","BART.3.90.DEAD.<2MM","BART.3.90.DEAD.<2MM","dead","<=2mm",0.1876,17.05,170.55,"20201217T015540Z"
"9","faa31e0a-150b-4c9f-8978-85f82ab071f9","MEGAPT100963",2013-08-19,"BART.2.90","BART.2.90.LIVE.<2MM","BART.2.90.LIVE.<2MM","live","<=2mm",0.1773,16.42,164.17,"20201217T015540Z"
"10","c2111027-6230-4ec6-9ccc-d1178ddc5b91","MEGAPT100963",2013-08-19,"BART.3.10","BART.3.10.DEAD.<2MM","BART.3.10.DEAD.<2MM","dead","<=2mm",0.8598,45.93,459.3,"20201217T015540Z"
"11","3e7a2330-af02-4f34-9f4d-8c449adcaff3","MEGAPT100963",2013-08-19,"BART.3.0","BART.3.0.DEAD.<2MM","BART.3.0.DEAD.<2MM","dead","<=2mm",0.6207,62.7,626.97,"20201217T015540Z"
"12","92af7b19-cef4-45ce-a2ab-14bed3e3f68f","MEGAPT100963",2013-08-19,"BART.2.60","BART.2.60.LIVE.<2MM","BART.2.60.LIVE.<2MM","live","<=2mm",0.1311,9.36,93.64,"20201217T015540Z"
"13","d85cbfe9-e933-49bc-827a-bd3c1bf77378","MEGAPT100963",2013-08-19,"BART.3.100","BART.3.100.DEAD.<2MM","BART.3.100.DEAD.<2MM","dead","<=2mm",0.0392,4.36,21.78,"20201217T015540Z"
"14","64b104c8-93c5-4dab-9e24-470c88bc1365","MEGAPT100963",2013-08-19,"BART.3.10","BART.3.10.DEAD.>2MM","BART.3.10.DEAD.>2MM","dead",">2mm",0.8381,44.77,447.7,"20201217T015540Z"
"15","cc889e69-b47d-4295-84f4-ddb32f34b9d5","MEGAPT100963",2013-08-19,"BART.3.0","BART.3.0.DEAD.>2MM","BART.3.0.DEAD.>2MM","dead",">2mm",0.3299,33.32,333.23,"20201217T015540Z"
"16","9a973cdf-4c36-4b82-a0b7-5d208bf1dca8","MEGAPT100963",2013-08-19,"BART.2.40","BART.2.40.LIVE.<2MM","BART.2.40.LIVE.<2MM","live","<=2mm",0.1783,14.86,148.58,"20201217T015540Z"
"17","5cff0eb8-4466-4ab9-af2d-fdbe84ca4b61","MEGAPT100963",2013-08-19,"BART.2.20","BART.2.20.LIVE.<2MM","BART.2.20.LIVE.<2MM","live","<=2mm",1.2115,269.22,2692.22,"20201217T015540Z"
"18","d5c3b644-38b8-4d33-b22a-79a0349b0bd0","MEGAPT100963",2013-08-19,"BART.3.80","BART.3.80.DEAD.<2MM",NA,"dead","<=2mm",0.0125,1.16,11.57,"20201217T015540Z"
"19","87355854-16a3-4f44-a9d7-c1ad01399fe2","MEGAPT100963",2013-08-19,"BART.2.100","BART.2.100.LIVE.<2MM",NA,"live","<=2mm",0.0085,0.85,4.25,"20201217T015540Z"
"20","d63e1593-153d-468b-a58c-10dda2eec1e4","MEGAPT100963",2013-08-19,"BART.2.30","BART.2.30.LIVE.<2MM","BART.2.30.LIVE.<2MM","live","<=2mm",1.0615,106.15,1061.5,"20201217T015540Z"
"21","bc663d2b-6fdd-49ba-aa2f-f6c8f0a84322","MEGAPT100963",2013-08-19,"BART.3.30","BART.3.30.LIVE.<2MM","BART.3.30.LIVE.<2MM","live","<=2mm",0.4724,42.95,429.46,"20201217T015540Z"
"22","14df29b0-55ec-4ea6-9394-b390fff7ee4b","MEGAPT100963",2013-08-19,"BART.3.70","BART.3.70.DEAD.<2MM","BART.3.70.DEAD.<2MM","dead","<=2mm",0.0657,6.26,62.57,"20201217T015540Z"
"23","c8fd6fa8-d71d-4d51-83ff-89926e3c3c45","MEGAPT100963",2013-08-19,"BART.2.120","BART.2.120.LIVE.<2MM",NA,"live","<=2mm",7e-04,0.06,0.32,"20201217T015540Z"
"24","8ed40449-8771-4de4-9987-15303832eeae","MEGAPT100963",2013-08-19,"BART.2.70","BART.2.70.LIVE.<2MM","BART.2.70.LIVE.<2MM","live","<=2mm",0.1532,15.32,153.2,"20201217T015540Z"
"25","ee66d99d-9b90-4fba-8ae1-736a9e8e2bb3","MEGAPT100963",2013-08-19,"BART.1.30","BART.1.30.DEAD.<2MM","BART.1.30.DEAD.<2MM","dead","<=2mm",0.1393,15.48,154.78,"20201217T015540Z"
"26","f91ae7de-5ee2-489c-b23c-e4ab612b0fce","MEGAPT100963",2013-08-19,"BART.1.20","BART.1.20.LIVE.<2MM","BART.1.20.LIVE.<2MM","live","<=2mm",1.1843,118.43,1184.3,"20201217T015540Z"
"27","9a3c0ecc-e956-4c1e-ac20-37e1b11ab80d","MEGAPT100963",2013-08-19,"BART.2.80","BART.2.80.DEAD.<2MM",NA,"dead","<=2mm",0.0102,1.08,10.85,"20201217T015540Z"
"28","686c7124-c308-4e7f-81be-2ca47533db78","MEGAPT100963",2013-08-19,"BART.1.100","BART.1.100.DEAD.<2MM","BART.1.100.DEAD.<2MM","dead","<=2mm",0.032,2.91,14.55,"20201217T015540Z"
"29","71c4e45f-68a6-4ac1-af89-9f6987f6f870","MEGAPT100963",2013-08-19,"BART.1.90","BART.1.90.DEAD.<2MM",NA,"dead","<=2mm",0.0115,1.15,11.5,"20201217T015540Z"
"30","eb017e72-2a49-4ca8-843e-4a46b088aa88","MEGAPT100963",2013-08-19,"BART.1.10","BART.1.10.DEAD.>2MM","BART.1.10.DEAD.>2MM","dead",">2mm",0.6145,61.45,614.5,"20201217T015540Z"
"31","c2ac5aa4-293a-49d4-8e5f-45c6a65d32a2","MEGAPT100963",2013-08-19,"BART.2.10","BART.2.10.DEAD.>2MM","BART.2.10.DEAD.>2MM","dead",">2mm",0.2924,29.24,292.4,"20201217T015540Z"
"32","672643a1-0702-4de0-bf0e-2041715ec04d","MEGAPT100963",2013-08-19,"BART.1.30","BART.1.30.LIVE.<2MM","BART.1.30.LIVE.<2MM","live","<=2mm",0.1672,18.58,185.78,"20201217T015540Z"
"33","ca961001-5270-43b7-99fc-aab91328330b","MEGAPT100963",2013-08-19,"BART.1.40","BART.1.40.LIVE.<2MM","BART.1.40.LIVE.<2MM","live","<=2mm",0.1702,17.02,170.2,"20201217T015540Z"
"34","361cf446-7f9f-4a2f-a18e-abb4b25815c9","MEGAPT100963",2013-08-19,"BART.2.30","BART.2.30.DEAD.>2MM","BART.2.30.DEAD.>2MM","dead",">2mm",0.0723,7.23,72.3,"20201217T015540Z"
"35","d6aa1444-99c6-4386-ad51-0748e9206fb6","MEGAPT100963",2013-08-19,"BART.1.60","BART.1.60.LIVE.<2MM","BART.1.60.LIVE.<2MM","live","<=2mm",0.1131,8.57,85.68,"20201217T015540Z"
"36","a9144258-0620-490a-bba5-a0119b93b7fb","MEGAPT100963",2013-08-19,"BART.1.120","BART.1.120.LIVE.<2MM",NA,"live","<=2mm",0.0119,1.08,5.41,"20201217T015540Z"
"37","b809dd3b-42c9-4046-a143-ab9f7b8764ab","MEGAPT100963",2013-08-19,"BART.1.0","BART.1.0.LIVE.<2MM","BART.1.0.LIVE.<2MM","live","<=2mm",12.7234,1272.34,12723.4,"20201217T015540Z"
"38","c27231d8-cf2b-47f3-89c3-9060ddeae790","MEGAPT100963",2013-08-19,"BART.1.70","BART.1.70.DEAD.>2MM","BART.1.70.DEAD.>2MM","dead",">2mm",0.0613,6.13,61.3,"20201217T015540Z"
