leaf_type,dominant_plant,min_depth,max_depth,sample_depth,turnover,turnover_n,turnover_growingseason,turnover_wetseason,Latitude,Longitude ,PFT,MAP,MAT
,fern,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
,fern,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
,fern,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,tree,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,tree,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,tree,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,shrub/tree,,,0,,,,,22.7,114.1166667,temperate,1948,22.4
evergreen,shrub/tree,,,0,,,,,22.7,114.1166667,temperate,1948,22.4
evergreen,shrub/tree,,,0,,,,,22.7,114.1166667,temperate,1948,22.4
evergreen,shrub/tree,,,0,,,,,22.7,114.1166667,temperate,1948,22.4
evergreen,shrub/tree,,,0,,,,,22.7,114.1166667,temperate,1948,22.4
evergreen,tree,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,tree,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,tree,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,tree,,,0,,,,,22.68333333,112.9,temperate,1760,21.7
evergreen,tree,,,0,,,,,18.60833333,108.8416667,tropical,2651,20
evergreen,tree,,,0,,,,,18.60833333,108.8416667,tropical,2651,20
evergreen,tree,,,0,,,,,18.60833333,108.8416667,tropical,2651,20
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,shrub/tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,shrub/tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,15,15,,,,,40.7,-77.95,boreal,,
evergreen,shrub/tree,0,15,15,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,45,45,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,45,45,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,45,45,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,45,45,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,45,45,,,,,40.7,-77.95,boreal,,
deciduous,tree,0,45,45,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,45,45,,,,,40.7,-77.95,boreal,,
evergreen,tree,0,45,45,,,,,40.7,-77.95,boreal,,
